" 1st War to 2nd","[+1817, +1817, +1834, +1834]"
" 2nd War to 3rd","[+1835, +1835, +1855, +1855]"
" 3rd War onward","[+1856, +1856, +1950, +1950]"
" early Empire","[-0030, -0030, +0300, +0300]"
" Late Roman Iron Age","[+0175, +0175, +0375, +0375]"
" Libyan Civil War","[+2011, +2011, +2015, +2015]"
" Neo-Babylonian","[-1199, -1199, -0585, -0585]"
" Old Assyrian","[-1999, -1999, -1649, -1649]"
" Roman Republic","[-0330, -0330, -0030, -0030]"
" Sudanese Civil War, Sudan, 1983-2005","[+1983, +1983, +2005, +2005]"
""Transitional" Samarra","[-6100, -6100, -5900, -5900]"
"<c.1950","[+1673, +1673, +1950, +1950]"
"1200 BC Middle East","[-1200, -1200, -1199, -1199]"
"1200 BC","[-1200, -1200, -1199, -1199]"
"12th dynasty","[-1985, -1985, -1773, -1773]"
"13th Century AD Eastern Mediterranean (AD 1200-1300)","[+1200, +1200, +1300, +1300]"
"13th Century AD","[+1200, +1200, +1300, +1300]"
"13th dynasty","[-1773, -1773, -1650, -1650]"
"14th dynasty","[-1700, -1700, -1650, -1650]"
"1500 AD Middle East (AD 1500-1500)","[+1500, +1500, +1500, +1500]"
"1500 AD","[+1500, +1500, +1500, +1500]"
"15th dynasty","[-1650, -1650, -1550, -1550]"
"16th and 17th Centuries","[+1500, +1500, +1700, +1700]"
"16th Century","[+1500, +1500, +1600, +1600]"
"16th dynasty","[-1650, -1650, -1580, -1580]"
"17th Century (1600 - 1699)","[+1600, +1600, +1699, +1699]"
"17th Century::1st half (1600 - 1649)","[+1600, +1600, +1649, +1649]"
"17th Century::1st half","[+1600, +1600, +1649, +1649]"
"17th Century::1st quarter (1600 - 1624)","[+1600, +1600, +1624, +1624]"
"17th Century::1st quarter","[+1600, +1600, +1624, +1624]"
"17th Century::2nd half (1650 - 1699)","[+1650, +1650, +1699, +1699]"
"17th Century::2nd half","[+1650, +1650, +1699, +1699]"
"17th Century::2nd quarter (1625 - 1649)","[+1625, +1625, +1649, +1649]"
"17th Century::2nd quarter","[+1625, +1625, +1649, +1649]"
"17th Century::2nd/3rd quarter (1625 - 1674)","[+1625, +1625, +1674, +1674]"
"17th Century::2nd/3rd quarter","[+1625, +1625, +1674, +1674]"
"17th Century::3rd quarter (1650 - 1674)","[+1650, +1650, +1674, +1674]"
"17th Century::3rd quarter","[+1650, +1650, +1674, +1674]"
"17th Century::4th quarter (1675 - 1699)","[+1675, +1675, +1699, +1699]"
"17th Century::4th quarter","[+1675, +1675, +1699, +1699]"
"17th Century","[+1600, +1600, +1699, +1699]"
"17th Century","[+1600, +1600, +1700, +1700]"
"17th dynasty","[-1650, -1650, -1550, -1550]"
"1870 - 1930","[+1870, +1870, +1930, +1930]"
"1870-1930","[+1870, +1870, +1930, +1930]"
"1870-1998","[+1870, +1870, +1998, +1998]"
"1880 to 2008","[+1880, +1880, +2008, +2008]"
"18th and 19th Centuries","[+1700, +1700, +1900, +1900]"
"18th Century (1700 - 1799)","[+1700, +1700, +1799, +1799]"
"18th Century::1st half (1700 - 1749)","[+1700, +1700, +1749, +1749]"
"18th Century::1st half","[+1700, +1700, +1749, +1749]"
"18th Century::1st quarter (1700 - 1724)","[+1700, +1700, +1724, +1724]"
"18th Century::1st quarter","[+1700, +1700, +1724, +1724]"
"18th Century::2nd half (1750 - 1799)","[+1750, +1750, +1799, +1799]"
"18th Century::2nd half","[+1750, +1750, +1799, +1799]"
"18th Century::2nd quarter (1725 - 1749)","[+1725, +1725, +1749, +1749]"
"18th Century::2nd quarter","[+1725, +1725, +1749, +1749]"
"18th Century::2nd/3rd quarter (1725 - 1774)","[+1725, +1725, +1774, +1774]"
"18th Century::2nd/3rd quarter","[+1725, +1725, +1774, +1774]"
"18th Century::3rd quarter (1750 - 1774)","[+1750, +1750, +1774, +1774]"
"18th Century::3rd quarter","[+1750, +1750, +1774, +1774]"
"18th Century::4th quarter (1775 - 1799)","[+1775, +1775, +1799, +1799]"
"18th Century::4th quarter","[+1775, +1775, +1799, +1799]"
"18th Century","[+1700, +1700, +1799, +1799]"
"18th Century","[+1700, +1700, +1800, +1800]"
"18th dynasty","[-1550, -1550, -1295, -1295]"
"19th c. American","[+1821, +1821, +1899, +1899]"
"19th cent. urban","[+1800, +1800, +1899, +1899]"
"19th Century (1800 - 1899)","[+1800, +1800, +1899, +1899]"
"19th century urban","[+1800, +1800, +1899, +1899]"
"19th Century::1st half (1800 - 1849)","[+1800, +1800, +1849, +1849]"
"19th Century::1st half","[+1800, +1800, +1849, +1849]"
"19th Century::1st quarter (1800 - 1825)","[+1800, +1800, +1825, +1825]"
"19th Century::1st quarter","[+1800, +1800, +1825, +1825]"
"19th Century::2nd half (1850 - 1899)","[+1850, +1850, +1899, +1899]"
