"10. Stufe","[-489500000, -489500000, -485400000, -485400000],['http://chronontology.dainst.org/period/MvBvWH6vY1wv']"
"2. Serie","[-521000000, -521000000, -509000000, -509000000],['http://chronontology.dainst.org/period/Szs103vjYo82']"
"2. Stufe","[-529000000, -529000000, -521000000, -521000000],['http://chronontology.dainst.org/period/JhVYczSFZ9tb']"
"3. Serie","[-509000000, -509000000, -497000000, -497000000],['http://chronontology.dainst.org/period/pri8KIANyHsU']"
"3. Stufe","[-521000000, -521000000, -514000000, -514000000],['http://chronontology.dainst.org/period/xY2GyaclgZ0D']"
"4. Stufe","[-514000000, -514000000, -509000000, -509000000],['http://chronontology.dainst.org/period/FZ6R4UmlKgnu']"
"5. Stufe","[-509000000, -509000000, -504500000, -504500000],['http://chronontology.dainst.org/period/AETubplFdD7b']"
"Aalen","[-174100000, -174100000, -170300000, -170300000],['http://chronontology.dainst.org/period/c0jMjQtBrKbH']"
"Aalenien","[-174100000, -174100000, -170300000, -170300000],['http://chronontology.dainst.org/period/c0jMjQtBrKbH']"
"Aalenium","[-174100000, -174100000, -170300000, -170300000],['http://chronontology.dainst.org/period/c0jMjQtBrKbH']"
"Abiotikum","[-4567000000, -4567000000, -541000000, -541000000],['http://chronontology.dainst.org/period/Ng976CoU1li0']"
"aBZ","[-1700, -1700, -1100, -1100],['http://chronontology.dainst.org/period/1RjerfM4abp3']"
"äBZ","[-1700, -1700, -1300, -1300],['http://chronontology.dainst.org/period/8tgS63eWJ6KZ']"
"äBZ","[-1800, -1800, -1600, -1600],['http://chronontology.dainst.org/period/AOvaRmxCjKhS']"
"äBZ","[-2000, -2000, -1100, -1100],['http://chronontology.dainst.org/period/I5VqVnDpqmWp']"
"äBZ","[-2000, -2000, -1100, -1100],['http://chronontology.dainst.org/period/o51269soLKXd']"
"äBZ","[-2150, -2150, -1300, -1300],['http://chronontology.dainst.org/period/u9sbo2H1QiE7']"
"ÄBZ","[-2200, -2200, -1350, -1350],['http://chronontology.dainst.org/period/ueNkvdyFVCce']"
"Achaemenidenzeitlich","[-0550, -0550, -0330, -0330],['http://chronontology.dainst.org/period/tbrad82kilsF']"
"Achämenidenreich","[-0550, -0550, -0330, -0330],['http://chronontology.dainst.org/period/tbrad82kilsF']"
"Adoptionskaiser","[+0098, +0098, +0138, +0138],['http://chronontology.dainst.org/period/kWQqv2GRipbN']"
"Adoptivkaiser/Antoninische Dynastie","[+0096, +0096, +0192, +0192],['http://chronontology.dainst.org/period/THskLgGa0oXh']"
"Adoptivkaisertum","[+0098, +0098, +0138, +0138],['http://chronontology.dainst.org/period/kWQqv2GRipbN']"
"äEH","[-0750, -0750, -0400, -0400],['http://chronontology.dainst.org/period/WfudwvsOK6ck']"
"äEH","[-0800, -0800, -0500, -0500],['http://chronontology.dainst.org/period/olrzccaRWaw1']"
"äEH","[-0800, -0800, -0500, -0500],['http://chronontology.dainst.org/period/QbEUcCJRvZsC']"
"Aeronium","[-440800000, -440800000, -438500000, -438500000],['http://chronontology.dainst.org/period/xv7MkQzKN3wT']"
"äEZ","[-0600, -0600, -0250, -0250],['http://chronontology.dainst.org/period/IvVQaskHzZGu']"
"äEZ","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/jwqI6DCGXYH9']"
"äEZ","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/kimCvPRMLmwq']"
"äEZ","[-0700, -0700, -0500, -0500],['http://chronontology.dainst.org/period/v9KEh3J4eLmj']"
"äEZ","[-0720, -0720, -0480, -0480],['http://chronontology.dainst.org/period/08q9opa3kgrv']"
"äEZ","[-0800, -0800, -0475, -0475],['http://chronontology.dainst.org/period/9iECMf0kI7u9']"
"äHZ","[-0750, -0750, -0600, -0600],['http://chronontology.dainst.org/period/088HqiogPe4W']"
"al-murabitun","[+1055, +1055, +1140, +1140],['http://chronontology.dainst.org/period/l8JRePFSaJco']"
"Alb","[-113000000, -113000000, -100500000, -100500000],['http://chronontology.dainst.org/period/U5opyzqfSQz3']"
"Albien","[-113000000, -113000000, -100500000, -100500000],['http://chronontology.dainst.org/period/U5opyzqfSQz3']"
"Albium","[-113000000, -113000000, -100500000, -100500000],['http://chronontology.dainst.org/period/U5opyzqfSQz3']"
"Algonkium","[-2500000000, -2500000000, -541000000, -541000000],['http://chronontology.dainst.org/period/YI3OB8oFQJpY']"
"Almohaden Reich","[+1147, +1147, +1269, +1269],['http://chronontology.dainst.org/period/Q4ZVyZVKQ3DV']"
"Almohaden","[+1147, +1147, +1269, +1269],['http://chronontology.dainst.org/period/Q4ZVyZVKQ3DV']"
"Almohadisch","[+1147, +1147, +1269, +1269],['http://chronontology.dainst.org/period/Q4ZVyZVKQ3DV']"
